# Good scans for point cloud visualization
# Generated by find_good_scans.py
# Format: sequence,scan_id,score,building_count,vegetation_count
#
# Best for BUILDING: seq=07, scan=000000
# Best for VEGETATION: seq=03, scan=000013
# Best BALANCED: seq=10, scan=000122
#
# RECOMMENDED SCANS:
building_scan=07,000000
vegetation_scan=03,000013
balanced_scan=10,000122
#
# All top scans (sorted by score):
00,000000,8500,18268,27123
00,000001,8500,19180,27116
00,000002,8500,20123,26987
00,000003,8500,20955,26815
00,000004,8500,21848,26039
00,000005,8500,22735,25189
00,000006,8500,23885,24591
00,000007,8500,25007,24252
00,000008,8500,25678,24168
00,000009,8500,26218,24379
00,000010,8500,26922,24901
00,000011,8500,27215,25709
00,000012,8500,27352,26578
00,000013,8500,27714,27461
00,000014,8500,28071,27600
00,000015,8500,28400,27465
00,000016,8500,29079,26890
00,000017,8500,30477,25174
00,000018,8500,30589,24372
00,000019,8500,30319,23894
01,000567,8500,3349,21516
01,000568,8500,3601,20970
01,000569,8500,3718,20911
01,000570,8500,3925,20834
01,000571,8500,4126,20945
01,000572,8500,4255,20125
01,000573,8500,4328,19691
01,000574,8500,4328,19241
01,000575,8500,4414,18616
01,000576,8500,4671,17584
